category,domain,length_category,model_family,model,attention,attention_backend,flash_attn_version,chunk_size,overlap,segmentation_method,top_k,embedding_model,query_strategy,num_chunks,context_tokens,latency,gpu_peak_gb,throughput_docs_per_hour,seed,n_samples,model_commit_hash,tokenizer_version,rougeL,bertscore_f1
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,19,3072,1.8015787601470947,0.972294807434082,1998.247359280628,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.18620689655172415,0.7973482608795166
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,20,3072,1.319000482559204,1.9681329727172852,2729.339410865918,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.08126410835214447,0.7768549919128418
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,18,3072,1.3090276718139648,1.9681329727172852,2750.1328486137772,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.18450184501845018,0.8199998140335083
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,24,3070,1.3364572525024414,1.8262639045715332,2693.688850323646,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.15015015015015018,0.8215435743331909
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,26,3072,1.3364980220794678,1.9681329727172852,2693.6066799401106,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.15841584158415842,0.8347248435020447
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,22,3072,1.3146512508392334,1.9681329727172852,2738.3688242047992,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.11538461538461536,0.7959290146827698
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,18,3072,1.3038547039031982,1.9681329727172852,2761.043841175783,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.161993769470405,0.8234480619430542
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,25,3072,1.32242751121521,1.9681329727172852,2722.2664149597695,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.16999999999999998,0.8416244983673096
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,21,3073,1.3120968341827393,1.9681329727172852,2743.6999360205896,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.17054263565891473,0.7954555749893188
arxiv_extra_long,arxiv,extra_long,LED,allenai/led-base-16384,default,eager,,1024,0,fixed,3,sentence-transformers/all-MiniLM-L6-v2,first_tokens,19,3072,1.3084471225738525,1.9681329727172852,2751.353064171537,42,17,38335783885b338d93791936c54bb4be46bebed9,4.57.1,0.13296398891966757,0.8156291246414185
